user_id,email,joined_date,nickname,street,city,state,zip,genres
user_jhCDVnNU,roberthammond@icloud.com,2019-12-13,roberthammond,409 Luis Club,North Lydialand,Arizona,54869.0,"Funk,Techno,Jazz,Classical"
user_D5t1hYVg,calderontodd@university.edu,2019-06-25,calderontodd,158 Lopez Street Apt. 610,Rochafurt,Ohio,38905.0,Techno
user_jgW3yH_H,danielle51@protonmail.com,2018-12-13,danielle51,2131 Rogers Haven Apt. 773,,Kansas,14585.0,"Jazz,R&B,Latin,Hip-Hop,Indie,Techno,Funk"
user_BWho5IC_,bettyhahn@hotmail.com,2015-08-29,bettyhahn,177 Neil Divide Suite 025,East Heatherburgh,Washington,25073.0,"Techno,Jazz,Pop,R&B,Blues,Country"
user_9d3bJ0gQ,melanieterrell@hotmail.com,2021-04-25,melanieterrell,279 Monroe Camp Suite 700,East Lisaville,,54441.0,"Punk,Techno,Rock,Folk,Indie,Latin,Disco"
user_MgLvuqYz,laura71@college.edu,2021-01-03,laura71,2609 Douglas Valleys,North Kendra,Tennessee,12896.0,"Soul,Indie,Blues"
user_-EzOnF9o,fosterbrandon@gmail.com,2020-05-23,fosterbrandon,5204 Bender Lock Apt. 124,West Jacob,California,85572.0,"Electronic,Disco,Techno"
user_HfEsevIp,linda38@outlook.com,2021-09-16,linda38,,Stephentown,Connecticut,12838.0,"R&B,Punk,Hip-Hop"
user_ByXkfiU9,mcguiresheila@outlook.com,2018-05-13,mcguiresheila,5813 Miller Groves,North David,New York,86827.0,"Reggae,Folk,Indie,Soul,Latin"
user_RFwrYnro,kevin71@mail.com,2017-07-09,kevin71,9963 Mitchell Villages Suite 643,Joneshaven,Kentucky,90847.0,"Classical,Folk,Jazz,Funk"
user_IGI2Blof,melissa63@university.edu,2019-05-02,melissa63,593 Ryan Roads,Amberberg,,85021.0,"Funk,Blues,Soul,Electronic,Hip-Hop"
user_cbonL2Cx,sandersjanet@yahoo.com,2019-12-30,sandersjanet,290 Sanchez Lake,Jonesland,Washington,61933.0,"Country,Techno,R&B,Indie"
user__vvg6plk,zmason@gmail.com,2019-08-06,zmason,097 Maureen Summit,Millerfurt,Nebraska,36412.0,"Country,Reggae,R&B,Rock,Indie,Latin,Electronic,Gospel,Jazz,Soul"
user_HjAtOSzH,sarah38@protonmail.com,2020-09-01,sarah38,,New Christopher,North Carolina,32099.0,"Gospel,Techno,Funk,Folk,R&B"
user_LySHTcL8,lthompson@college.edu,2016-05-15,lthompson,,,,18864.0,"Punk,Disco,Country,Pop,Gospel,R&B,Indie"
user_1L8QOpYv,kevinhess@mail.com,2018-06-17,kevinhess,,East Rebecca,Mississippi,66645.0,"Hip-Hop,Indie,Punk,Pop,Classical,Funk"
user_1YCp7K7l,victorayala@foxmail.com,2018-12-30,victorayala,81370 Johnson Drive Suite 829,Wattsshire,,35067.0,"Pop,Disco,Funk,Rock,Folk,Latin,Hip-Hop"
user_DyY4XTgu,icook@hotmail.com,2016-02-13,icook,7061 Ortiz Trail Suite 663,South Sylviabury,Georgia,98489.0,"Folk,Indie,Rock,Techno"
user_gLxW-ifd,webersara@hotmail.com,2019-01-03,webersara,8958 Johnson Park,North Martin,New Jersey,,"Techno,Funk,Rock,Disco,Electronic,Country,Soul"
user_nGubhjv7,reevesgeorge@university.edu,2018-10-23,reevesgeorge,24783 Tucker Coves Suite 484,Jaimemouth,Rhode Island,15288.0,"Indie,Pop,Disco"
user_4GhDrc4Y,littlekatherine@college.edu,2019-08-10,littlekatherine,,New Angelafurt,,77039.0,"R&B,Country,Indie,Jazz"
user_LHeCLxeC,ruthwilliams@outlook.com,2017-06-10,ruthwilliams,,Kingburgh,North Dakota,63468.0,"Techno,Funk,Blues"
user_gO1KPo0y,ndoyle@university.edu,2017-03-20,ndoyle,296 Brown Dam,,Oregon,89654.0,"Techno,Country,Jazz"
user_ZNb451C9,rmayer@foxmail.com,2016-02-22,rmayer,,Mollyfort,Iowa,54953.0,"Folk,Gospel,Pop,Soul,Indie"
user_GVEfq5s1,robert92@outlook.com,2016-01-20,robert92,,Scottberg,Arizona,76447.0,Hip-Hop
user_cWptaV9B,duranjoshua@hotmail.com,2022-12-12,duranjoshua,03158 Evans Via Suite 281,Ramseyside,Virginia,,"Latin,Hip-Hop,Country,Gospel"
user_uA2soBbr,rhodge@outlook.com,2020-04-21,rhodge,,Montoyamouth,,47684.0,"Classical,Latin,Metal,Techno"
user_O1djtiH5,milesjoshua@protonmail.com,2022-12-10,milesjoshua,2402 Anderson Glens Apt. 163,Simonshire,Montana,30240.0,"Disco,Metal,Rock,Techno,Soul,Jazz,Blues,Hip-Hop"
user_JhMewCw-,jennifer96@protonmail.com,2017-02-02,jennifer96,0685 Carpenter Lock,Lake Heatherchester,Connecticut,55131.0,"Funk,Classical,Punk,Indie,Techno,Metal"
user_DCamb8AK,baileymary@protonmail.com,2017-06-29,baileymary,126 French Trail Suite 480,South Sherri,,4627.0,Blues
user_ewJOLhbE,kimberlymartin@gmail.com,2017-05-12,kimberlymartin,00835 Baird Circles,Malikport,,93752.0,Latin
user_1z8mNQAq,aaron76@icloud.com,2016-03-28,aaron76,61545 Phillips Mountains,Phillipsberg,Rhode Island,27312.0,"Country,Folk,Techno,Funk,Punk"
user_dLmKAKCV,roy72@protonmail.com,2020-01-23,roy72,78773 Erin Keys,Josephmouth,,95229.0,"Indie,Pop"
user_1qWFUUDk,kfuller@icloud.com,2022-09-18,kfuller,381 Steven Camp,Alexmouth,,35376.0,"Metal,Disco,Folk,Punk,Gospel,Soul,Classical"
user_1W-9CpDZ,brittany95@yahoo.com,2018-08-23,brittany95,314 Craig Locks Suite 547,Joshuashire,Montana,16120.0,"Indie,Electronic,Pop,Punk,Latin,Folk"
user__ExTLbWW,garydavies@yahoo.com,2017-02-02,garydavies,735 Monique Meadow Suite 553,Deanstad,Illinois,,"Soul,Jazz,Electronic,Blues"
user_GnLJxcMa,elara@college.edu,2017-12-13,elara,4430 Elizabeth Mount Suite 943,Timothyside,,91998.0,"Pop,Techno,Folk,Country,Punk,Hip-Hop"
user_k5vNBKnX,solisjessica@university.edu,2015-05-26,solisjessica,,West Sara,Colorado,56922.0,"Gospel,R&B,Disco"
user_7bx6Mqfg,johnsontanya@yahoo.com,2017-10-13,johnsontanya,,East Rita,,93844.0,"Jazz,Electronic,Pop,Techno,Indie,Hip-Hop"
user_Wlaznzaj,ibrown@outlook.com,2021-04-21,ibrown,8894 Jenna Valleys,Barkertown,Louisiana,38790.0,"Techno,Disco,Folk,Metal,Latin,Jazz"
user_biKNBL6J,tina44@yahoo.com,2020-08-18,tina44,,South Emma,,29106.0,"Metal,Indie,Funk,Folk,Blues,Punk"
user_yhZamet0,anna49@college.edu,2015-01-26,anna49,247 Acevedo Overpass Suite 623,,Michigan,31431.0,"Jazz,Disco,Hip-Hop,Folk"
user_EMq-O792,williambrady@gmail.com,2015-04-20,williambrady,511 Donaldson Street,Port Christopher,North Dakota,6349.0,"Funk,Pop,Punk,Rock,Disco,Techno"
user_vZorLD7C,fergusoncarrie@gmail.com,2019-11-29,fergusoncarrie,970 Jackson Turnpike Suite 456,,Utah,20316.0,"Metal,Funk"
user_ou5rQRSO,william57@mail.com,2016-07-07,william57,372 Crystal Ranch Apt. 263,Richardberg,Maine,91457.0,"Jazz,Punk,Blues"
user_xF4xR_iW,christopher89@mail.com,2021-08-07,christopher89,1725 Warren Light,Port Bethanyfurt,Delaware,62154.0,"Soul,Techno,Disco,Funk,Pop,Reggae,Country"
user_YIaFm4Ak,hollowayjonathan@icloud.com,2022-10-16,hollowayjonathan,069 Green Divide,,Massachusetts,34927.0,"Rock,Disco,Indie,Techno,Latin,R&B"
user_3yJ3Aiti,monicafoster@protonmail.com,2020-03-20,monicafoster,,New Jennifer,Rhode Island,25684.0,"Hip-Hop,Latin,Reggae"
user_kRIqAClU,dicksonelizabeth@yahoo.com,2020-05-30,dicksonelizabeth,77923 Tara Hills Suite 334,Port Thomasborough,Pennsylvania,10785.0,"R&B,Rock,Country"
user_PeA8wkO9,zachary68@protonmail.com,2021-06-02,zachary68,83018 Pacheco Springs,Lake Christian,,55906.0,"Pop,Country,Punk,R&B,Gospel,Metal,Electronic,Soul"
user_FxBzoyUv,anthonysusan@protonmail.com,2017-07-13,anthonysusan,9707 Taylor Via Apt. 364,West Jenniferton,California,31774.0,"Reggae,Latin,Gospel,Indie,Metal,Disco,Blues"
user_DKa2s0Am,helen93@outlook.com,2022-05-27,helen93,498 Roberts Greens Apt. 630,Kennethstad,Hawaii,80678.0,"Metal,Latin,Soul,Jazz,Classical,Hip-Hop"
user_D7BGSpYO,william09@icloud.com,2022-04-07,william09,,West Tiffanyside,Georgia,55308.0,"Indie,Gospel,Blues"
user_C7ZFJnAW,michelle32@outlook.com,2018-04-29,michelle32,503 Grace Alley,Hendricksfurt,Vermont,29886.0,"Pop,Reggae,Techno,Country,Hip-Hop"
user_qut1R27v,rporter@protonmail.com,2022-06-27,rporter,56469 Mendez Drive,Millerside,New Mexico,26945.0,Country
user_nqMlPg1r,nataliedean@gmail.com,2018-07-26,nataliedean,7314 Williams Unions Apt. 397,,Montana,7136.0,"Indie,Funk,Pop,Techno,Latin,Gospel"
user_SK2AAUla,thomasstacy@university.edu,2019-02-25,thomasstacy,886 Brock Station Apt. 931,Welchborough,Tennessee,8791.0,"Indie,Disco,Electronic,Folk"
user_ju6NwwjV,haleysloan@university.edu,2022-08-30,haleysloan,324 Tyler Trail,Murraychester,North Carolina,,"Jazz,Funk"
user_JzHNlEXr,ucastaneda@yahoo.com,2020-01-20,ucastaneda,0694 Charles Canyon,South James,Arizona,1514.0,"Pop,Indie,Gospel,R&B,Folk"
user_3pq_-KwE,jeanettehoffman@foxmail.com,2017-09-04,jeanettehoffman,,Jameston,Texas,71575.0,"R&B,Jazz,Punk,Gospel,Hip-Hop"
user_PpTyeIhu,ewilliams@mail.com,2016-07-23,ewilliams,0764 Yu Ways Apt. 973,,Maine,55498.0,"Country,Techno,Classical,Reggae,Jazz,Metal,Disco,Rock,R&B,Latin"
user_04JO2Lh1,kathryn60@yahoo.com,2022-08-03,kathryn60,,Stewartfurt,South Carolina,,"R&B,Disco,Funk,Classical,Soul"
user_2eLmvtxV,edwardscindy@foxmail.com,2017-07-10,edwardscindy,99418 Adam Terrace,Patelmouth,,51391.0,"Jazz,Blues,Indie,Metal,Funk,Soul,Disco,Classical"
user_RUJqlMJ6,michaelayers@yahoo.com,2018-03-23,michaelayers,4540 Castro Center,North Alexander,Ohio,87597.0,"Metal,Blues,Electronic"
user_3C5Ced5b,dlawrence@icloud.com,2017-12-02,dlawrence,003 Taylor Tunnel Suite 813,South Jodifort,Colorado,,"Punk,Techno,Hip-Hop,R&B,Soul"
user_5lieqWQ_,westchristopher@hotmail.com,2018-06-01,westchristopher,3667 Stewart Meadows Suite 226,Lake Stephanie,,43331.0,"Reggae,Blues,Electronic,Jazz,Hip-Hop,Pop,Punk"
user_t6StawaS,ronald52@mail.com,2018-02-10,ronald52,81801 Leah Terrace,North Robertview,Wisconsin,,"Latin,Jazz,Funk,Electronic,Techno,Metal"
user_WeotxGJW,prhodes@foxmail.com,2022-07-14,prhodes,,,Minnesota,78354.0,"Reggae,Rock,Classical,Metal,Indie,Hip-Hop,Gospel"
user_CMczMJUQ,heathernorton@hotmail.com,2020-05-25,heathernorton,89940 Victor Fields,Port Louismouth,Oregon,9109.0,"Hip-Hop,Folk"
user_0geeGahd,brittany62@outlook.com,2017-01-20,brittany62,,North Philip,Maine,,"Punk,Classical"
user_aH4FvJyL,fowlerjason@college.edu,2022-06-17,fowlerjason,5596 Holt Crossing,North Michael,Pennsylvania,89025.0,Jazz
user_Q-L7bIWO,maryjacobs@protonmail.com,2019-11-11,maryjacobs,,North Christina,Indiana,52831.0,"Gospel,Pop,Disco,Folk,Soul,Funk,Indie"
user_O-NYGIOg,warrenanderson@college.edu,2018-08-20,warrenanderson,1385 Reginald Mills Suite 653,North Nicholasshire,Illinois,67213.0,Indie
user_Mz75mf2v,denise09@college.edu,2017-11-14,denise09,7534 Fernandez Pass,,Nevada,53951.0,"Latin,Blues,Gospel,Jazz,Folk,Disco"
user_GfaXjXuk,uward@protonmail.com,2019-01-25,uward,40008 Curry River,Michaelstad,Maryland,75867.0,"Jazz,Latin,Techno,Folk"
user_Xz8NTBy3,keith65@university.edu,2022-06-29,keith65,4472 Christopher Forge,New Angela,North Carolina,99920.0,"Metal,Soul,Pop,Techno,Blues"
user_W9nt5h3M,justinlam@hotmail.com,2016-06-18,justinlam,5030 Stephanie Valley,,Montana,37563.0,"Soul,Jazz,Country,Blues"
user__hWHGYuW,david90@college.edu,2018-01-06,david90,53964 Mary Cape Apt. 375,South Virginiafort,North Carolina,18784.0,"Punk,Latin,Soul,Reggae,Electronic"
user_T0Hu-k0M,amandawatkins@mail.com,2018-08-20,amandawatkins,9818 Martinez Groves,Lake Gary,New Jersey,71133.0,"Soul,Indie,Blues"
user_YfYBs7IC,marcocox@hotmail.com,2022-05-07,marcocox,6033 Graham Drive Suite 333,Goodfort,,64692.0,"Jazz,Classical,Rock,Hip-Hop"
user_aWzmMD7w,jennifer27@foxmail.com,2021-09-02,jennifer27,6197 Nicole Shores,,Oklahoma,85474.0,"Soul,Funk,Disco"
user_sdi-F6J4,nataliecoffey@mail.com,2021-03-27,nataliecoffey,271 Thomas Vista Apt. 021,North Maryville,,79004.0,"Techno,Soul"
user_oBTdKAk-,callen@icloud.com,2016-01-23,callen,864 Brian Ranch Apt. 164,Debrachester,,,"R&B,Funk,Hip-Hop,Blues,Electronic,Reggae"
user_StO9MKAt,mary25@hotmail.com,2018-01-02,mary25,,Lake Donald,Wisconsin,45368.0,"Pop,Techno,Soul"
user_K-g85pTk,wmoreno@college.edu,2022-05-27,wmoreno,8490 Arnold Tunnel,Julieport,Indiana,14395.0,"Techno,Disco,Country"
user__A_KzfBq,gclayton@protonmail.com,2018-04-16,gclayton,79145 Reed Heights Suite 851,East Mario,,77128.0,"Hip-Hop,Latin,Classical,Techno,Blues,Jazz,Soul,Country"
user_fQcpE0tW,zramsey@hotmail.com,2019-11-15,zramsey,501 Ashley Loaf,Alexanderchester,Arkansas,,"Country,Soul,Indie,Folk,Metal"
user_Y5yqhnYb,christine86@outlook.com,2017-01-12,christine86,,Duranview,,,"Soul,Jazz,Blues,Classical"
user_zchuzJiN,danielharrison@icloud.com,2017-08-12,danielharrison,76264 Jo Summit,North Stephanie,West Virginia,23703.0,"Soul,Metal,Classical,Funk,R&B,Gospel,Reggae"
user_A33op-ln,paynedavid@university.edu,2018-07-15,paynedavid,3446 Cynthia Unions Apt. 809,Christietown,Colorado,,Reggae
user_E-270_4G,john15@foxmail.com,2017-07-05,john15,372 Kristen Rapid,Port Kristiefort,Massachusetts,20326.0,Techno
user__0x6rWfX,tfrye@outlook.com,2020-04-20,tfrye,,Levyland,Washington,49067.0,"Electronic,Pop"
user_B18S7tqB,richard39@icloud.com,2020-01-02,richard39,80577 Jennifer Fields Suite 101,North Katrinaborough,Nebraska,80646.0,"Metal,Blues,Funk"
user_YvL_YMzT,rlowe@outlook.com,2021-06-26,rlowe,,North Molly,Nebraska,56091.0,"Indie,Techno"
user_wL_pe4Kz,cflores@university.edu,2020-10-05,cflores,55772 Rodriguez Field Apt. 918,Christineberg,Utah,60252.0,"Hip-Hop,Jazz,R&B,Latin,Metal"
user_r41TUEKA,ryanveronica@college.edu,2019-06-25,ryanveronica,114 Elizabeth Meadows,East Paulberg,Alaska,98931.0,"Indie,Hip-Hop,R&B,Rock,Funk"
user_FnEhLCwv,jonesgregory@college.edu,2016-05-30,jonesgregory,,Jacquelineport,New Jersey,62387.0,"Metal,Indie,Soul,Blues,Classical,Electronic"
user_uzPbJtPh,gerald43@icloud.com,2018-08-06,gerald43,33136 George Parkway,,Illinois,86294.0,"Classical,Disco,Country"
user_Io31QP4y,anthony59@college.edu,2021-01-28,anthony59,,North Georgemouth,Iowa,32389.0,"Funk,Jazz"
user_JtMh9kTZ,williamslindsay@gmail.com,2018-08-09,williamslindsay,,,North Carolina,63165.0,"Indie,Blues,Punk,Soul,Country,Funk"
user_wN1I7IzE,roger54@icloud.com,2016-04-24,roger54,5326 Jessica Land Suite 702,Waynehaven,Montana,11842.0,"Disco,Blues,Folk,Electronic,Indie,Classical"
user_KHvQ5nfN,respinoza@icloud.com,2018-08-24,respinoza,164 Ryan Via Apt. 109,,Alaska,25989.0,"Blues,Latin,Soul,Punk"
user_vJ-Cm6Mk,nicholasfoster@gmail.com,2018-12-03,nicholasfoster,81034 Acevedo Causeway,Port Richardtown,,47202.0,"Classical,Electronic,Pop,R&B,Indie"
user_POPYNr7l,candace45@protonmail.com,2020-04-28,candace45,88540 Dawn Flats,North Amy,,34586.0,"Latin,Soul,Folk,Disco,Country"
user_N28-GJeM,ericmccall@college.edu,2021-10-05,ericmccall,80680 Rodriguez Hill Suite 937,Lake Kevinmouth,Arkansas,46259.0,"Gospel,Indie,Country,Jazz,Soul"
user_Y7nXu_Ek,chelsealawson@icloud.com,2015-06-19,chelsealawson,183 Nancy Island Suite 090,Lake Deannaton,North Carolina,10206.0,"Pop,Hip-Hop,Jazz,R&B,Soul,Metal,Blues"
user_cCRV27i4,vshaw@mail.com,2017-05-29,vshaw,1286 Danielle Meadow,Melissafurt,,,"Hip-Hop,Blues,Classical,Metal"
user_5fgoBaOC,lisa66@yahoo.com,2016-09-11,lisa66,,Caseville,Missouri,,"Funk,Metal,Country,Electronic,Soul"
user_07TZ_5bz,gina75@outlook.com,2016-01-23,gina75,,Breannamouth,Michigan,72695.0,"Electronic,Folk,Rock,R&B,Latin"
user_pd2t5WK4,marissamoore@outlook.com,2022-07-03,marissamoore,,East Jeffreyberg,New Hampshire,64858.0,"Soul,Country,Electronic,Gospel,Techno,Folk,Funk"
user_V0VNPkG9,rebeccamoore@protonmail.com,2019-08-20,rebeccamoore,025 Andrea Isle,North Danielborough,Illinois,3747.0,"Punk,Hip-Hop,Classical,Folk"
user_vRs-JARm,barbaragardner@foxmail.com,2016-07-07,barbaragardner,,Heidiport,Maryland,57700.0,"Country,Blues,Indie,Soul,Metal"
user_amor_e2X,courtney36@protonmail.com,2022-10-25,courtney36,75227 Daniel Pike,Antoniochester,South Carolina,70000.0,"Techno,Gospel,Funk,Rock,Hip-Hop,Soul,Disco,Jazz,Country,Indie"
user_3KtUNBM6,zjohnson@hotmail.com,2021-12-17,zjohnson,,West Brendaburgh,Massachusetts,68548.0,"Folk,Hip-Hop"
user_m5erZFur,robbinsjennifer@hotmail.com,2017-12-25,robbinsjennifer,37176 Hodges Village,New Danielle,New Mexico,80310.0,"Metal,Latin"
user_n3q-1wfP,velasquezmargaret@university.edu,2017-05-01,velasquezmargaret,058 Kimberly Stream,,South Dakota,38731.0,"Techno,Jazz,Gospel,Latin,Classical,Rock,Blues"
user_noiIAu_N,freeves@mail.com,2019-08-21,freeves,81365 White Inlet Apt. 981,Emilyton,Utah,39499.0,"Country,Metal,Gospel,Jazz"
user_wsSj4MaL,pchan@college.edu,2018-06-27,pchan,,,Wyoming,,"Country,Gospel,Punk,Reggae"
user_kH57AloB,marisa58@mail.com,2018-10-04,marisa58,4334 Lopez Row Apt. 757,Kimborough,,,"Folk,R&B,Pop,Country,Latin"
user__Z-PSArS,rshaffer@college.edu,2022-07-21,rshaffer,29306 Diana Spurs Apt. 038,Kellyburgh,,35131.0,"R&B,Blues,Classical,Reggae"
user_64T7TbC8,turnerkayla@icloud.com,2019-08-10,turnerkayla,19285 Martinez Drives,North Toddmouth,Iowa,2182.0,"Gospel,Electronic,R&B,Latin,Folk,Soul"
user_swmk3hCI,douglasbennett@yahoo.com,2021-02-15,douglasbennett,451 Sherri Springs Suite 211,South John,Utah,37144.0,"Blues,Disco,Folk,Hip-Hop,Techno,Gospel,Reggae"
user_Sg8j4eJ9,allisonfrost@icloud.com,2022-09-05,allisonfrost,4304 Barrera Creek Suite 493,East Joshuaport,,57235.0,"Soul,Techno,Folk,Gospel,Classical,Jazz"
user_1CNoW-_M,freemanlaurie@university.edu,2015-10-08,freemanlaurie,15371 Johnny Keys Suite 171,Georgeport,,,"Punk,Funk,Soul,Electronic"
user_nyIhrD99,josephrangel@college.edu,2022-12-18,josephrangel,28448 Smith Causeway Apt. 891,,Virginia,,"Disco,R&B,Classical"
user_yW32cmnL,eheath@college.edu,2022-10-13,eheath,98206 Hernandez Light Apt. 575,,Hawaii,86925.0,"Pop,Latin"
user_hUgSEBDW,monica21@foxmail.com,2021-11-12,monica21,80379 Philip Corners,Lake Tarafurt,California,78772.0,"Indie,Metal"
user_rDWIH2jj,phall@gmail.com,2015-12-02,phall,19250 Dean Inlet Suite 611,,Nebraska,82118.0,"Folk,R&B,Metal,Electronic,Pop,Techno,Soul"
user_NBTc_PCH,adamseric@yahoo.com,2016-03-04,adamseric,427 Larson Highway,Walterhaven,,69266.0,"Hip-Hop,Indie,R&B,Classical,Soul,Blues"
user_3H_RWyEZ,dustin63@gmail.com,2016-01-14,dustin63,52229 Matthew Canyon Apt. 794,East Sarahmouth,North Carolina,65021.0,"Rock,Blues,Disco"
user_7CFxWVcJ,annthomas@icloud.com,2018-10-08,annthomas,7334 Shelby Groves,Edwardfurt,North Dakota,26481.0,"Funk,Classical,Rock,Jazz,Indie,Disco,Punk,Soul"
user_s20mtRZS,matthewgregory@mail.com,2021-12-06,matthewgregory,47589 Reed Shoals Suite 727,Port Shelby,,,"Classical,Rock,Disco,Country,Folk,Gospel"
user_vIBa3lFx,hfrazier@college.edu,2022-01-08,hfrazier,3530 Guzman Cape,West Patriciaside,Florida,88963.0,"Punk,Techno,Disco,R&B,Reggae"
user_p-0jJTyn,nicole38@college.edu,2015-03-03,nicole38,30627 Kirk Stream Apt. 711,Andrewside,,19348.0,"Rock,Pop,Gospel,Classical"
user_o_jc9ZWl,smithmichael@outlook.com,2021-03-27,smithmichael,42334 Burke Row,,New Mexico,30038.0,"Country,Rock,Indie,Jazz,Reggae"
user_CUufhlqy,wyoung@hotmail.com,2016-08-24,wyoung,22636 Bruce Falls,Lake Jay,Alabama,46103.0,"Electronic,Soul,Jazz,Punk,Techno,R&B,Disco"
user_y3lo2Uf-,perrytyler@yahoo.com,2017-07-05,perrytyler,99949 Mendez Dam,North Fredton,Nebraska,17429.0,"Country,Soul,Pop,Rock"
user_z00f908O,sherry98@outlook.com,2017-01-19,sherry98,43731 Danielle Junctions,East Erin,,44459.0,"Metal,Blues,Jazz,Latin,Folk,Techno,Gospel"
user_OjzCb4Q-,katherineingram@hotmail.com,2022-04-03,katherineingram,474 Harris Crossroad Suite 824,Lopezbury,Wisconsin,9808.0,"Disco,Reggae,Jazz,Techno,Metal"
user_zSTRGNm_,ltorres@outlook.com,2018-05-23,ltorres,62817 Sylvia Grove Suite 693,Brittanyside,Georgia,6003.0,"Techno,Blues,Reggae,Hip-Hop"
user_geMLolwT,smithhelen@protonmail.com,2022-11-06,smithhelen,7038 Sellers Gardens Apt. 132,Timothyberg,Louisiana,21224.0,"Rock,Latin,R&B,Pop,Jazz,Reggae"
user_CFMZkT1U,bradshawshaun@hotmail.com,2017-05-10,bradshawshaun,610 Smith Trail,New Carmenport,Florida,32782.0,"Folk,Indie,Blues,Electronic,Punk"
user_cFtPFY4r,randallclark@mail.com,2017-11-16,randallclark,1474 Rogers Locks Apt. 458,,Rhode Island,54725.0,"Funk,Gospel,Latin,Indie,Punk,Hip-Hop,Country"
user_MCal3myT,amyers@university.edu,2016-11-04,amyers,6927 Desiree Forges,,Michigan,47797.0,"Techno,Electronic,Folk,Disco"
